local,dia_semana,hora_dia,eventos_proximos,historico_ocorrencias_7d,iluminacao_ativa_pct,iluminacao_fonte,densidade_pessoas,acao_preventiva_necessaria
Academia Da Cidade,6,0,0,5,91.0,sintetica,48,0
Praça Da Restauração,5,20,0,11,27.0,sintetica,79,1
Praça Dos Pneus,3,8,0,11,73.0,sintetica,35,0
Praça Dom Vital,4,11,0,6,26.0,sintetica,52,0
Praça Do Rosarinho,2,21,0,1,42.0,sintetica,30,1
Praça Arão Botler,3,7,0,11,51.0,sintetica,32,0
Praça Vila Do Moinho Recife,6,16,0,0,81.0,sintetica,30,0
Praça Palminha / Próximo Ao Núcleo Policial / Padaria Flor Do Ibura,6,9,1,13,64.0,sintetica,20,1
Praça Da Madalena,1,6,0,6,87.0,sintetica,51,0
Parque Treze De Maio,1,18,0,8,49.0,sintetica,48,1
Praça Poliesportiva Da Ur4 Ibura,3,5,1,1,58.0,sintetica,25,0
Praça Professor Barreto Campello,2,20,0,11,24.0,sintetica,42,0
Praça Da Vila Teimosinho,3,23,0,6,86.0,sintetica,36,0
Praça Da Igreja,2,23,1,2,41.0,sintetica,10,0
Dr.Luis Ramos Leal,2,18,0,5,47.0,sintetica,53,0
Praça Thyago Fausto,6,17,0,2,41.0,sintetica,25,0
Praça Da Rua Junqueira Freire,6,14,1,12,48.0,sintetica,14,1
Praça Da Rua Pinheiro Machado,6,1,0,9,62.0,sintetica,55,0
Praça Avenida Professor José Dos Anjos,4,13,0,12,61.0,sintetica,27,0
Praça Do Caxanga,6,20,1,10,79.0,sintetica,87,1
Praça Encanta Moça/Posto Policial,5,9,1,10,96.0,sintetica,43,1
Praça Boco-Moco/Da Ur 5,1,15,1,10,90.0,sintetica,53,1
Praça José Vieira,1,6,0,4,93.0,sintetica,34,0
Parque Da Jaqueira,2,7,0,14,87.0,sintetica,51,0
Praça Palminha / Próximo Ao Núcleo Policial / Padaria Flor Do Ibura,1,9,0,1,78.0,sintetica,43,0
Praça Poço Da Panela,0,14,0,7,25.0,sintetica,24,0
"Praça. Ur 04 Ibura  , Junto Da Capela Nossa Senhora Aparecida Ur 4 Terminal",2,7,0,13,92.0,sintetica,13,1
Praça Da Rua 03,1,12,0,7,47.0,sintetica,13,0
Praça Da Bandeira,0,11,0,6,96.0,sintetica,34,0
Praça Saturnino De Brito,4,7,0,5,50.0,sintetica,50,0
Praça Dona Carminha & Sr João,1,14,0,0,58.0,sintetica,22,0
Praça Do Lixo Ao Luxo,0,11,0,7,69.0,sintetica,51,0
Praça Ulisses Leon De Oliveira,3,10,1,0,97.0,sintetica,55,1
Praca Da Ur6,5,18,0,7,56.0,sintetica,61,1
Praça Do Derby,3,13,0,10,91.0,sintetica,12,0
Praça Santa Eufrásia,0,17,1,1,34.0,sintetica,44,1
Praça Dalva De Oliveira,2,12,0,7,70.0,sintetica,57,0
Praça Phaelante Da Câmara,6,3,0,9,89.0,sintetica,18,0
Praça Cosme Viana,6,16,0,11,42.0,sintetica,23,0
Praça Alfredo Pinto,6,18,1,3,44.0,sintetica,96,1
Praça Aleixo De Oliveira,2,8,0,6,65.0,sintetica,57,1
Campo Do 15,1,22,0,4,42.0,sintetica,18,0
Praça Abelardo Rijo,6,6,1,7,29.0,sintetica,33,0
Parque Das Graças Lucia Moura,3,0,1,11,92.0,sintetica,32,1
Sem Nome,2,6,0,14,96.0,sintetica,46,0
Praça Augusto Rodrigues,2,6,1,5,51.0,sintetica,54,0
Praça Paulo Freire,6,19,1,13,70.0,sintetica,90,1
Praça Movicar,3,6,0,14,60.0,sintetica,45,0
Praça Profeta Joseph Smith,4,7,0,4,84.0,sintetica,23,0
Praça De Casa Forte,2,15,0,0,84.0,sintetica,29,0
Praça Tertuliano Feitosa,6,2,0,2,59.0,sintetica,48,0
Quatro De Outubro,5,12,1,9,37.0,sintetica,45,1
Praca Esmeralda,0,9,0,8,55.0,sintetica,36,0
Praça Abelardo Baltar,1,17,1,14,50.0,sintetica,26,1
Praça Do El Salvador,2,6,0,13,73.0,sintetica,35,0
Praça Vale Do Siriji,5,20,0,8,82.0,sintetica,64,0
Praça Virgilio De Oliveira,5,20,0,4,20.0,sintetica,69,0
Praça Do Lixo Ao Luxo,2,4,0,2,71.0,sintetica,12,0
Praça A.B.C (Abc),4,22,1,5,76.0,sintetica,98,0
Praça Da Gaia,0,23,0,4,28.0,sintetica,50,0
Praça Da Igreja,1,21,0,14,93.0,sintetica,49,0
Praça Miguel De Cervantes,2,6,0,0,75.0,sintetica,48,0
Praça Heiji Gemba,1,21,1,1,66.0,sintetica,16,0
Praça Truaca/Tempo De Crescer,3,16,1,11,22.0,sintetica,45,0
Praça Chayenne,5,3,0,4,21.0,sintetica,28,0
Praça José Bonifácio,5,23,0,13,73.0,sintetica,72,0
Praça Tertuliano Feitosa,2,22,0,8,56.0,sintetica,29,0
Praça Fleming,2,15,0,11,75.0,sintetica,47,1
Praça Arão Botler,3,18,0,3,50.0,sintetica,21,0
Praça Da Redenção,4,9,0,8,31.0,sintetica,38,0
Praça Truaca/Tempo De Crescer,2,2,0,2,77.0,sintetica,39,0
Praça Doutor Pedro Alves Neto,5,2,0,0,86.0,sintetica,29,0
Praça Angélica,1,16,0,5,45.0,sintetica,13,0
Praça Do Conjunto Habitacinal Josue Pinto,0,9,0,14,97.0,sintetica,11,0
Praça Odon De Alencar,6,16,0,9,31.0,sintetica,56,0
Praça Alberto Pinto,1,21,0,13,35.0,sintetica,39,0
Praça Getulio Vargas,4,16,0,6,72.0,sintetica,32,0
Largo Dom Luiz,0,20,0,3,91.0,sintetica,15,0
Praça Maurício De Nassau E Duarte Coelho,1,3,0,9,68.0,sintetica,27,0
Praça João Pessoa De Queiroz,1,20,1,4,68.0,sintetica,31,0
Pinto Damásio,3,22,0,3,26.0,sintetica,46,1
Praça Heiji Gemba,6,5,1,2,34.0,sintetica,13,0
Praça Carmela Dutra/Ipiranga,4,11,0,0,55.0,sintetica,52,0
Praça Morena Ramos,5,21,0,12,91.0,sintetica,89,0
Praça Raizes,3,19,0,5,93.0,sintetica,50,0
Praça Poliesportiva Da Ur4 Ibura,0,16,0,9,34.0,sintetica,44,0
Praça Do Colégio Jarbas Pernambucano,6,16,0,4,81.0,sintetica,20,0
Praça Dom José Pereira Alves,5,9,0,10,37.0,sintetica,43,0
Praça Rita Coelho Em Cavaleiro,3,6,0,0,65.0,sintetica,18,0
Praça Esperança,6,15,1,4,80.0,sintetica,40,0
Praça Raizes,4,12,0,5,62.0,sintetica,51,0
Praça Da Rua Arquiteto Luiz Nunes,2,2,0,9,63.0,sintetica,41,0
Praça Queira Deus,2,1,0,4,85.0,sintetica,52,0
Praça Da República,0,15,0,0,74.0,sintetica,44,0
Praça Otávio De Freitas,2,5,0,13,98.0,sintetica,58,0
Parque Dona Lindu,3,5,0,4,58.0,sintetica,20,0
Praça Do Pirulito,0,12,0,9,24.0,sintetica,26,0
Praça Odília Freire Dos Santos,5,6,0,0,76.0,sintetica,45,0
Praça Pantanal,4,4,0,10,34.0,sintetica,11,0
Praça Do Conjunto Habitacinal Josue Pinto,0,23,0,2,35.0,sintetica,33,0
Praça Do Trabalho,5,6,1,11,76.0,sintetica,55,1
Praça Das Flores,0,1,1,12,44.0,sintetica,24,1
Praça Josen Demery Carneiro,1,16,1,1,41.0,sintetica,37,0
Praça Professor Trajano,1,12,0,12,50.0,sintetica,12,0
Praça Arão Botler,0,20,0,0,53.0,sintetica,38,0
Praça Rio Branco,6,20,0,3,35.0,sintetica,99,1
Praça Miguel De Cervantes,2,15,0,1,89.0,sintetica,22,0
Praça Maurício De Nassau E Duarte Coelho,1,19,0,4,78.0,sintetica,59,0
Área Central Da Avenida José Américo De Almeida,6,1,1,9,34.0,sintetica,31,1
Praça Da Madalena,6,4,0,0,32.0,sintetica,40,0
Praça José Maria Do Nascimento Paraíba/Lixão,4,17,0,11,43.0,sintetica,16,0
Praça La Coruna,5,6,0,9,32.0,sintetica,57,0
Praça Lins Do Rego/Dos Brotos,3,10,0,0,84.0,sintetica,57,0
Praça Do Finado Leiteiro,1,10,0,10,55.0,sintetica,35,0
Praça Palminha / Próximo Ao Núcleo Policial / Padaria Flor Do Ibura,0,21,0,9,68.0,sintetica,40,0
Área Central Da Avenida José Américo De Almeida,2,16,0,3,67.0,sintetica,47,0
Praça Tempo De Crescer,3,15,0,6,62.0,sintetica,47,0
Praça São Benedito Pereira Dos Santos,5,12,0,13,25.0,sintetica,13,0
Praça Simão Borba,6,21,0,13,87.0,sintetica,75,0
Praça Castro Alves,5,4,1,1,33.0,sintetica,42,0
Praca Mauriceia,1,19,0,1,49.0,sintetica,12,0
Praça Monteiro Lobato,5,15,0,0,27.0,sintetica,28,0
A Praça É Nossa,5,21,1,4,73.0,sintetica,73,0
Praça Chayenne,2,21,0,5,85.0,sintetica,55,0
Praça Da Convenção,6,15,0,12,23.0,sintetica,28,0
Praça Maria Da Conceição,2,15,0,5,93.0,sintetica,28,0
Praça Do Amor,2,13,1,1,79.0,sintetica,35,1
Andresa Carla Gomes Do Nascimento,0,5,0,11,72.0,sintetica,22,0
Praça Zeppelin,5,1,0,11,93.0,sintetica,31,0
Praca Arlindo Araujo Filho,5,13,0,6,34.0,sintetica,57,0
Praça Arquiteta Maria Lucia,5,15,0,5,20.0,sintetica,17,0
Praça Jornalista Anibal Fernandes,4,22,1,7,41.0,sintetica,90,1
Praça Alfredo Ozório,2,19,0,5,34.0,sintetica,35,0
Mariazinha,3,12,0,8,93.0,sintetica,57,0
Praça Doutor Pedro Alves Neto,1,14,0,9,41.0,sintetica,50,0
Praça Da Gaia,6,11,0,1,69.0,sintetica,50,0
Praça Vale Do Siriji,3,8,1,6,67.0,sintetica,12,0
Praça Do Terço,6,17,1,4,92.0,sintetica,16,0
Praça Da Várzea,0,20,0,0,70.0,sintetica,59,0
Praça Da Conceição,0,13,1,2,36.0,sintetica,11,0
Rua Maria Adelaide Castelo Branco,6,19,0,3,70.0,sintetica,97,0
Praça Vitória Do Povo,5,3,1,11,56.0,sintetica,21,1
Praça Alice De Albuquerque,3,7,0,1,68.0,sintetica,57,0
Praca Da Ur6,5,7,0,6,78.0,sintetica,21,0
Praça Do Colégio Jarbas Pernambucano,4,21,0,0,29.0,sintetica,85,1
Praça Nova Bettis,0,21,0,2,49.0,sintetica,50,0
Praça Avenida Professor José Dos Anjos,0,15,0,11,40.0,sintetica,36,0
Praça Da Avenida General San Martin,3,23,1,8,53.0,sintetica,27,0
Praça João Francisco Lisboa,0,9,1,10,92.0,sintetica,13,1
Praça Nova Esperança,4,20,0,13,69.0,sintetica,89,0
Praça Encanta Moça/Posto Policial,4,16,0,1,95.0,sintetica,32,0
General Carlos Pinto,4,0,1,4,66.0,sintetica,30,0
Praça Da Igreja Nossa Senhora De Fatima,1,17,0,3,25.0,sintetica,45,0
Praça Jacarezinho,4,9,0,11,69.0,sintetica,39,0
Praça Do Caxanga,4,20,0,2,82.0,sintetica,97,0
Praça Flor De Cheiro,1,3,0,4,31.0,sintetica,30,0
Praça Rafael De Oliveira Alves,5,0,0,5,60.0,sintetica,32,0
Praça Dona Carminha & Sr João,2,3,0,0,50.0,sintetica,30,0
Praça Infantil John F. Kennedy,0,3,0,1,21.0,sintetica,17,0
Praça Alberico Glasner Da Rocha,4,3,0,0,35.0,sintetica,48,0
Praça Movicar,0,16,1,2,20.0,sintetica,22,0
Praça Clube Sargento Wolf,3,8,0,7,23.0,sintetica,49,0
Parque Da Jaqueira,0,18,0,7,66.0,sintetica,31,0
Praça Saturnino De Brito,6,12,0,3,84.0,sintetica,16,1
Praça Da Rua Quintino Bocaiuva,5,3,0,5,71.0,sintetica,33,0
Praça Jardim Uchôa,1,4,0,11,66.0,sintetica,14,0
Praça Do Lixo Ao Luxo,0,12,0,8,96.0,sintetica,59,0
Praça A.B.C (Abc),0,22,0,13,69.0,sintetica,35,0
Praça Sementes Do Amanhã,0,15,0,6,64.0,sintetica,19,0
Mariazinha,2,21,0,1,61.0,sintetica,20,0
Praça Do Caiara,2,4,0,10,75.0,sintetica,49,0
Praça Dr José Vilela,3,7,0,1,90.0,sintetica,47,0
General Carlos Pinto,1,15,0,2,76.0,sintetica,20,0
Praça Sena Vila Cardeal E Silva - Areias,0,0,1,7,52.0,sintetica,57,0
Praça Do Conjunto Habitacinal Josue Pinto,0,22,0,9,47.0,sintetica,39,0
Praça Conselheiro João Alfredo,0,5,0,14,63.0,sintetica,13,0
Praça Dom Vital,0,10,0,8,75.0,sintetica,11,0
Praça Gildo Macedo Lacerda,2,15,1,12,63.0,sintetica,22,0
Praça Da Rua Guarabira,5,4,0,13,92.0,sintetica,48,0
Macaxeira,5,15,0,2,53.0,sintetica,26,0
Praça Do Paraíso,3,6,0,8,33.0,sintetica,32,0
Praça Capiba,6,18,0,11,87.0,sintetica,97,0
Praça Phaelante Da Câmara,4,0,0,11,48.0,sintetica,19,0
Praça Gonçalo Leitão,1,8,0,9,98.0,sintetica,22,0
Praça Campo Do Lagoão,5,17,0,11,36.0,sintetica,51,0
Praça Arco Íris,6,12,1,7,28.0,sintetica,48,0
Praça Nadir Colaco,0,14,0,4,46.0,sintetica,51,0
Praça João Pereira Borges,5,2,0,10,68.0,sintetica,38,0
Superintendente João Gonçalves De Souza,3,23,0,9,98.0,sintetica,25,0
Praça Da Rua Carlos Gomes/ Do Cavalo Dourado,4,9,1,2,56.0,sintetica,12,0
Parque Sítio Da Trindade/Arraial V. Do Bom Jesus,5,8,0,10,47.0,sintetica,45,0
Praça Do Caxanga,3,12,1,6,69.0,sintetica,13,0
Praça Professor Agamenon Magalhães,2,15,0,8,74.0,sintetica,45,0
Praça Maracangaia,4,2,0,11,23.0,sintetica,25,0
Parque Da Jaqueira,3,21,0,5,38.0,sintetica,50,0
Praça Alto Jose Do Pinho,6,22,1,2,56.0,sintetica,89,1
Praça José Maria Do Nascimento Paraíba/Lixão,5,14,0,4,23.0,sintetica,51,0
Praça Tempo De Crescer,2,16,0,6,56.0,sintetica,37,0
Praça Do Caixito,6,13,0,7,70.0,sintetica,45,0
Praça Das Flores,3,6,0,12,51.0,sintetica,32,0
Thays Lucena,3,19,0,13,64.0,sintetica,21,0
Praça Alberico Glasner Da Rocha,6,15,1,11,31.0,sintetica,51,1
Praça Dr Fernando Figueira,5,20,0,3,60.0,sintetica,82,0
Praça Professor Jeronimo Gueiros,4,7,0,1,75.0,sintetica,21,0
Praça Thiago Pepeta,2,3,0,9,99.0,sintetica,41,0
Praça Esperança,0,19,0,1,33.0,sintetica,34,0
Praça Da Independência,1,23,0,11,73.0,sintetica,38,0
Praça Da Rua Caxangá Agape,4,14,0,2,82.0,sintetica,28,0
Praça Mercado Municipal Da Ur-5,2,4,0,7,84.0,sintetica,31,0
Praça Jules Rimet,6,12,1,0,77.0,sintetica,33,0
Praça Professor Ageu Magalhães,3,5,0,13,40.0,sintetica,42,0
Praça Da Rua João Rique. Iputinga Recife,6,4,0,6,23.0,sintetica,45,0
Praça Augusto Rodrigues,2,16,0,5,92.0,sintetica,54,0
Campo Do 15,6,6,0,13,65.0,sintetica,49,0
Praça Thyago Fausto,6,5,0,1,31.0,sintetica,55,0
Praça Carmela Dutra/Ipiranga,1,1,1,8,49.0,sintetica,25,0
Praça Da Esperança,5,10,0,12,79.0,sintetica,11,0
Praça Irmã Douraci,1,6,1,11,90.0,sintetica,17,1
Parque Dona Lindu,0,21,0,4,84.0,sintetica,22,0
Praça Do Cajueiro,0,20,0,1,33.0,sintetica,39,0
Praça Luiz Americo Willians,1,7,1,2,63.0,sintetica,10,0
Praça Da Quadra,4,4,1,6,45.0,sintetica,21,0
Praça De Casa Forte,4,17,1,6,35.0,sintetica,58,0
Praça Deputado Fabio Correa,6,21,0,9,26.0,sintetica,84,1
Praça Miguel De Cervantes,6,15,0,0,51.0,sintetica,57,0
Praça Do Tourão,3,13,0,14,35.0,sintetica,23,0
General Carlos Pinto,0,11,0,9,97.0,sintetica,51,0
Praça Joaquim Cavalcante,3,16,0,13,81.0,sintetica,44,0
Praça  Dos Brôtos,0,4,1,10,49.0,sintetica,37,1
Praça José Bonifácio,1,13,0,10,90.0,sintetica,21,0
Macaxeira,4,5,1,11,31.0,sintetica,49,1
Praça Do Internacional,6,14,0,3,86.0,sintetica,57,0
Praça Rio Branco,4,6,0,5,65.0,sintetica,33,0
Praça Da Rua Guarabira,1,13,0,7,62.0,sintetica,10,0
Praça Thyago Fausto,3,17,0,2,74.0,sintetica,26,0
Praça Do Bom Pastor,3,0,1,13,64.0,sintetica,47,1
Praça Da Mentira,2,5,0,2,79.0,sintetica,37,0
Parque Exposição Do Cordeiro,6,2,0,7,90.0,sintetica,42,1
Praça Otávio De Freitas,6,4,0,7,99.0,sintetica,33,0
Praça Geraldo Vilas Boas,6,11,0,7,51.0,sintetica,56,0
Praça Quitéria,0,10,1,0,27.0,sintetica,54,0
Praça Alfredo Pinto,3,12,0,7,96.0,sintetica,15,0
Praça Augusto Rodrigues,1,15,0,7,81.0,sintetica,30,0
Praça Da Bandeira,3,17,1,1,94.0,sintetica,54,0
Thomaz Lobo,4,16,0,11,39.0,sintetica,13,0
Praça Santa Eufrásia,0,16,1,8,37.0,sintetica,42,0
Praça Quartel General,6,10,0,6,25.0,sintetica,19,0
Praça Da Amizade,5,19,0,7,48.0,sintetica,90,1
Praça João Rique,2,9,1,1,23.0,sintetica,22,0
Praça Joaquim Nabuco,0,15,1,3,90.0,sintetica,45,0
Praça Da Quadra,4,1,0,6,62.0,sintetica,57,1
Quatro De Outubro,6,16,0,5,53.0,sintetica,18,0
Praça Capiba,4,21,1,6,90.0,sintetica,70,0
Praça Presidente Kennedy,4,19,0,0,52.0,sintetica,87,1
Praça Josenildo Lins,6,9,0,7,34.0,sintetica,29,0
Praça Artur Lima Cavalcanti,4,12,0,12,59.0,sintetica,17,0
Praça De Apipucos,1,11,0,6,24.0,sintetica,36,0
Praça Professor Doutor Antônio Figueira,2,14,0,12,97.0,sintetica,45,0
Praça  João Maurício Campos,5,6,1,3,69.0,sintetica,18,0
Pracinha Da Estação Do Barro,4,21,0,0,85.0,sintetica,85,0
Praça Luiz Americo Willians,4,20,1,14,73.0,sintetica,90,1
Trevo Da Ur2,3,12,0,7,99.0,sintetica,46,0
Praça Do Finado Leiteiro,2,11,0,9,65.0,sintetica,50,0
Praça Profeta Joseph Smith,0,11,0,6,99.0,sintetica,49,0
Praça Vale Do Siriji,2,1,0,7,30.0,sintetica,39,0
Praça Da Rua Junqueira Freire,2,4,0,9,68.0,sintetica,35,0
Praça De Dona Vilma,6,1,0,0,42.0,sintetica,13,1
Praça Do Vasco Da Gama,6,22,0,4,74.0,sintetica,82,0
Praça Jornalista Anibal Fernandes,6,19,0,8,24.0,sintetica,94,1
Praça Da Chesf,5,12,0,4,83.0,sintetica,37,0
Praça Maria Da Conceição,2,2,1,12,54.0,sintetica,54,1
Prc   Rua Augusto Bamberg De Melo,5,10,1,13,88.0,sintetica,33,1
Praça Do Rosário,4,15,0,13,73.0,sintetica,37,0
Praça Do Caxanga,6,0,0,9,22.0,sintetica,37,0
Praça José Cicílio,4,18,0,11,25.0,sintetica,99,1
Praça Dona Elizabeth,6,10,1,2,75.0,sintetica,41,0
Praça  De Campo Grande - Eudoro,1,8,0,8,21.0,sintetica,39,0
Praça Da Rua Arquiteto Luiz Nunes,5,13,0,12,57.0,sintetica,30,0
Praça Da Rua Pinheiro Machado,5,8,1,8,75.0,sintetica,51,0
Praça Chora Menino,0,6,1,3,24.0,sintetica,25,0
Praça Das Flores,3,15,0,3,65.0,sintetica,17,0
Praça Joaquim Nabuco,2,2,0,10,30.0,sintetica,21,0
Praça Do Terminal Da Guabiraba,0,18,0,7,84.0,sintetica,41,0
Peixinhos,5,3,0,6,29.0,sintetica,34,0
Praça Pedro Brandão,0,6,0,10,60.0,sintetica,12,0
Praça Márcio Codonga,1,22,0,4,63.0,sintetica,35,0
Praça Sabere,3,11,0,5,52.0,sintetica,45,0
Praça Onze De Junho,5,17,0,14,75.0,sintetica,26,0
Praça Monteiro Lobato,5,4,0,2,31.0,sintetica,36,0
Praça Otávio De Freitas,2,22,1,13,21.0,sintetica,31,0
Praça Da Rua Itacambira,6,22,0,14,20.0,sintetica,76,1
Praça General Euler Bentes/Da Sudene,3,21,1,5,84.0,sintetica,47,0
Praça Luz Da Fraternidade,1,9,1,12,52.0,sintetica,44,1
Praça Do Campo Santo,4,11,0,7,95.0,sintetica,55,0
Praça Da Rua Clotilde Machado,0,7,0,9,55.0,sintetica,16,0
Praça Da Rua José Fernandes Portugal,2,18,0,13,40.0,sintetica,12,0
Praça Alfredo Pinto,5,14,0,12,55.0,sintetica,15,0
Praça Sabere,4,0,1,10,45.0,sintetica,22,1
Praça Da Roda De Fogo,1,2,0,8,66.0,sintetica,55,0
Praça Sítio Das Palmeiras,3,17,0,2,20.0,sintetica,24,0
Praça Todos Os Santos,0,17,0,7,57.0,sintetica,35,0
Campo Do Imperio,2,1,0,11,33.0,sintetica,57,0
Vila Dos Bancários,5,4,0,2,65.0,sintetica,42,0
Praça Virgilio De Oliveira,5,0,0,1,61.0,sintetica,24,0
Praça Conselheiro João Alfredo,4,9,0,4,26.0,sintetica,48,0
Praça Santa Eufrásia,4,19,0,13,74.0,sintetica,76,0
Praça Ascenço Ferreira,0,9,1,3,75.0,sintetica,56,0
Praça Da Rua Riacho Doce,3,4,0,12,95.0,sintetica,23,0
Praça Do Berardo,1,17,0,4,82.0,sintetica,28,0
Praça Vila Do Moinho Recife,6,20,0,5,43.0,sintetica,82,1
Praça 3º Jardim De Boa Viagem,3,14,0,14,92.0,sintetica,33,0
Praça Do Paraíso,3,19,0,2,23.0,sintetica,59,0
Praça Getulio Vargas,3,7,0,0,61.0,sintetica,50,0
Praça Márcio Codonga,6,16,0,14,89.0,sintetica,42,0
Praça Alfredo Pinto,0,11,0,3,47.0,sintetica,21,0
Praça Academia Da Saúde Alto Da Conquista,6,20,0,5,59.0,sintetica,61,0
Praça Jornalista Otávio Sarmento Cardoso/Coliseu,0,11,0,1,70.0,sintetica,16,0
Praça Arari Ferreira Fonseca,6,0,0,1,48.0,sintetica,55,0
Praça Doutor Pádua Walfrido,1,3,0,0,61.0,sintetica,10,0
Praça Da Rua José Pimentel,3,7,0,8,88.0,sintetica,24,0
Praça Jornalista Francisco Pessoa De Queiroz,0,0,0,2,24.0,sintetica,10,0
Praça 3º Jardim De Boa Viagem,6,14,0,1,60.0,sintetica,54,0
Avenida Sul,1,17,0,3,80.0,sintetica,29,0
Praça Odon De Alencar,6,0,1,5,74.0,sintetica,11,0
Praça Salgueiro,5,10,0,0,47.0,sintetica,12,0
Praça Fernando Galvão,1,22,0,8,60.0,sintetica,45,0
Praça Da Rua Clotilde De Machado I E Ii,3,1,0,8,28.0,sintetica,25,0
Praça Professora Antonia Galvão,2,0,0,7,48.0,sintetica,38,1
Praça Da Portelinha,3,11,0,5,97.0,sintetica,53,0
Praça Da Ong Do Rio - Nova Morada,2,15,0,3,57.0,sintetica,45,0
Parque Do Forte Do Arraial Novo Do Bom Jesus,1,21,0,1,81.0,sintetica,53,0
Praça Vale Do Siriji,5,21,0,7,73.0,sintetica,99,0
Praça Do Salgueiro,5,9,0,6,71.0,sintetica,12,0
Praça Olavo Bilac,0,17,0,11,53.0,sintetica,46,0
Arlindo Gouveia,5,14,0,13,56.0,sintetica,53,0
Praça Bambu,4,16,0,3,68.0,sintetica,21,0
Praça João Vinte E Três,1,9,0,2,61.0,sintetica,29,0
Praça Monsenhor Arruda Camara,0,2,0,14,33.0,sintetica,32,0
Praça Chayenne,5,20,0,5,52.0,sintetica,72,0
Praça Chayenne,1,15,0,14,36.0,sintetica,41,0
Praça Sebastião Malta,3,5,0,14,94.0,sintetica,16,1
Praça Do Derby,5,2,0,0,51.0,sintetica,31,0
Praça Engenho Poeta/Do Rotary,6,8,0,1,98.0,sintetica,53,0
Praça Do Lixo Ao Luxo,2,10,0,6,87.0,sintetica,11,0
Praça Astério Rufino Alves,1,20,0,10,58.0,sintetica,23,0
Praça Da Independência,0,12,0,2,29.0,sintetica,25,0
Parque Doutor Arnaldo Assunção,3,17,0,13,43.0,sintetica,33,0
Praça Josenildo Paes Barreto,4,21,0,12,77.0,sintetica,61,0
Praça Astério Rufino Alves,3,23,1,0,88.0,sintetica,13,0
Fabiano Da Jora,5,21,0,1,83.0,sintetica,90,0
Praça Odília Freire Dos Santos,2,3,0,9,38.0,sintetica,55,0
Parque Exposição Do Cordeiro,3,21,0,9,27.0,sintetica,50,0
Praça Da Várzea,4,23,0,13,90.0,sintetica,90,0
Praça Luiz Gonzaga,6,7,0,8,59.0,sintetica,11,0
Praça Aúreo Xavier,0,12,0,6,32.0,sintetica,14,0
Glaucineide Ferraz Da Silva,1,9,1,6,46.0,sintetica,12,0
Praça Do Fundão,2,1,0,13,21.0,sintetica,51,0
Praça Beatriz Pereira Carneiro,4,7,0,9,35.0,sintetica,17,0
Praça Henrique Café,5,5,0,7,33.0,sintetica,35,0
Praça Do S,5,15,0,14,36.0,sintetica,19,0
Praça Othon Bezerra De Melo,5,17,0,11,79.0,sintetica,43,0
Praça Luiz De Lacerda,2,16,0,11,89.0,sintetica,55,0
Praça Bernardo Vieira De Melo,3,5,0,7,36.0,sintetica,45,0
Parque Das Graças Lucia Moura,2,12,0,8,64.0,sintetica,21,0
Praça Coronel Silva Torres,5,22,1,1,57.0,sintetica,66,0
Praça Estação Macaco,6,13,0,13,83.0,sintetica,38,0
Praça Da  Singapura,4,20,0,7,25.0,sintetica,67,0
Praça Da Rua Clotilde De Machado I E Ii,1,9,0,7,79.0,sintetica,57,0
José Carlos Ferreira,1,23,1,12,68.0,sintetica,14,0
Centro Social Bidu Krause,2,10,0,4,40.0,sintetica,57,1
Gilvania De Oliveira Moura Sá,5,12,0,4,42.0,sintetica,36,0
Praça André Negromonte,0,11,1,3,95.0,sintetica,13,0
Largo Dom Luiz,6,8,0,13,76.0,sintetica,38,0
Praça Filonila Ferreira,2,3,0,4,83.0,sintetica,12,0
Praça Faca Cega,5,6,0,1,48.0,sintetica,42,0
Praça Da Avenida Da Recuperação,3,23,0,1,46.0,sintetica,39,0
Praça Do Colégio Jarbas Pernambucano,1,21,1,4,25.0,sintetica,45,0
Praça Jacarezinho,1,1,0,10,40.0,sintetica,18,0
"Praça. Ur 04 Ibura  , Junto Da Capela Nossa Senhora Aparecida Ur 4 Terminal",6,6,0,12,90.0,sintetica,10,0
Praça El Salvador,1,8,1,2,60.0,sintetica,57,0
Praça Do Mercado Da Madalena,0,4,0,0,99.0,sintetica,32,0
Praça Do Internacional,5,14,0,8,24.0,sintetica,12,0
Praça Governador Paulo Guerra,5,17,0,1,34.0,sintetica,41,0
Praça Do Candieiro,6,3,0,13,40.0,sintetica,33,0
Praça Centro Campo Grande,5,18,0,11,77.0,sintetica,87,0
Praça Queira Deus,6,19,1,13,23.0,sintetica,89,1
Praça Josenildo Paes Barreto,5,6,0,9,88.0,sintetica,58,0
Praça Alto Da Serrinha,0,7,0,1,26.0,sintetica,24,0
Praça Nova Morada,4,16,0,13,54.0,sintetica,39,0
Praça Da Rua Pinheiro Machado,2,12,0,3,55.0,sintetica,21,0
Praça Da Portelinha,2,23,0,1,34.0,sintetica,49,0
Largo Visconde De Mauá,5,20,0,6,21.0,sintetica,69,0
Praca Mauriceia,3,22,1,14,76.0,sintetica,44,1
Praça Lagoa Do Araça,1,10,0,11,24.0,sintetica,37,0
Praça Tempo De Crescer,0,0,0,9,90.0,sintetica,13,0
Praça Do Largo Da Ponte Do Motocolombo,3,1,0,14,51.0,sintetica,16,0
Praça Largo De Monte Verde,3,16,0,0,91.0,sintetica,56,0
